[2025-09-06 09:22:04] INFO: Database operation: UPDATE on members {"operation":"UPDATE","table":"members","data":{"member_id":"4","first_name":"hänschen","last_name":"dampf","email":"reinhard.schiessl@web.de","membership_type":"Vollmitglied"},"result":"SUCCESS","sql_time":0.012311935424804688} | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:22:04] INFO: User action: Member updated {"action":"Member updated","url":"\/index.php","method":"POST","user_agent":"Mozilla\/5.0 (X11; Linux x86_64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/139.0.0.0 Safari\/537.36","member_id":"4","member_name":"hänschen dampf","email":"reinhard.schiessl@web.de","execution_time":0.00746607780456543} | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:24:49] INFO: Database operation: UPDATE on members {"operation":"UPDATE","table":"members","data":{"member_id":"4","first_name":"hänschen","last_name":"dampf","email":"reinhard.schiessl@web.de","membership_type":"Vollmitglied"},"result":"SUCCESS","sql_time":0.05216097831726074} | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:24:49] INFO: User action: Member updated {"action":"Member updated","url":"\/index.php","method":"POST","user_agent":"Mozilla\/5.0 (X11; Linux x86_64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/139.0.0.0 Safari\/537.36","member_id":"4","member_name":"hänschen dampf","email":"reinhard.schiessl@web.de","execution_time":0.05023193359375} | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:25:12] INFO: Database operation: UPDATE on members {"operation":"UPDATE","table":"members","data":{"member_id":"3","first_name":"Peter","last_name":"Müller","email":"peter.mueller@example.com","membership_type":"Jugendmitglied"},"result":"SUCCESS","sql_time":0.01034092903137207} | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:25:12] INFO: User action: Member updated {"action":"Member updated","url":"\/index.php","method":"POST","user_agent":"Mozilla\/5.0 (X11; Linux x86_64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/139.0.0.0 Safari\/537.36","member_id":"3","member_name":"Peter Müller","email":"peter.mueller@example.com","execution_time":0.006983041763305664} | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:25:20] INFO: Database operation: UPDATE on members {"operation":"UPDATE","table":"members","data":{"member_id":"3","first_name":"Peter","last_name":"Müller","email":"peter.mueller@example.com","membership_type":"Jugendmitglied"},"result":"SUCCESS","sql_time":0.002936840057373047} | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:25:20] INFO: User action: Member updated {"action":"Member updated","url":"\/index.php","method":"POST","user_agent":"Mozilla\/5.0 (X11; Linux x86_64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/139.0.0.0 Safari\/537.36","member_id":"3","member_name":"Peter Müller","email":"peter.mueller@example.com","execution_time":0.0007929801940917969} | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:29] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:29] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
[2025-09-06 09:54:29] CRITICAL: Database connection failed | User: Anonymous | IP: 172.19.0.1 | Memory: 2 MB
